,0,1,2
8830,true,"""[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.""","By Alex Kuffner • October 2, 2014"
8831,barely-true,"David Perdue ""opposes laws that provide equal pay protections for women.""","By Nancy Badertscher • October 2, 2014"
8832,false,"""I recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in Iraq and Syria.""","By Louis Jacobson • October 1, 2014"
8833,pants-fire,"The non-profit group Feeding America is lying when it claims ""that one in five kids is fighting starvation daily"" in the United States.","By Jon Greenberg • October 1, 2014"
8834,pants-fire,"""Mary Landrieu voted to take away your gun rights.""","By Steve Contorno • October 1, 2014"
8835,true,"Says U.S. Rep. Steve Southerland ""voted to keep the shutdown going.""","By Joshua Gillin • October 1, 2014"
8836,barely-true,"After the 2012 redistricting, Wisconsin has competitive congressional districts.","By James B. Nelson • October 1, 2014"
8837,barely-true,"""We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.""","By Alex Kuffner • October 1, 2014"
8838,half-true,"David Perdue ""proposes rolling back the clock on women’s health care.""","By Nancy Badertscher • October 1, 2014"
8839,half-flip,On the economic stimulus.,"By Angie Drobnic Holan • September 30, 2014"
8840,barely-true,"A 2011 measure passed into law with Wendy Davis’ support ""removes from the attorney general the ability to settle lawsuits just like"" the school funding case.","By W. Gardner Selby • September 30, 2014"
8841,full-flop,On support for the Affordable Care Act (Obamacare).,"By Joshua Gillin • September 30, 2014"
8842,half-true,"Says personhood legislation she sponsored would not have restricted access to reproductive services and was ""simply a statement that I support life.""","By Lauren Carroll • September 30, 2014"
8843,barely-true,"""94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.""","By Louis Jacobson • September 30, 2014"
8844,false,"The Justice Department’s Fast and Furious gun-walking program ""started in the Bush administration.""","By Katie Sanders • September 30, 2014"
8845,false,"Scott Walker was elected governor on a promise not to take campaign contributions ""from the date of his inauguration until the signing of the state budget,"" but broke it by taking nearly $5.6 million.","By Tom Kertscher • September 29, 2014"
8846,half-flip,On opposing legislation that would take away existing health care plans.,"By Warren Fiske • September 29, 2014"
8847,barely-true,Health insurance costs for Floridians are up 30 percent or more.,"By Amy Sherman • September 29, 2014"
8848,half-true,"Based on current trends, ""15.5 million girls will be married in the next 16 years as children.""","By Jon Greenberg • September 29, 2014"
8849,mostly-true,"Under Scott Walker, ""right now, we’re 46th in the country in terms of new businesses started.""","By Tom Kertscher • September 29, 2014"
8850,mostly-true,"Children who witness domestic violence are ""twice as likely to commit it themselves.""","By Derek Tsang • September 16, 2014"
8851,half-true,"""Income inequality is worse in towns run by Democrat mayors than in towns run by Republican mayors.""","By Louis Jacobson • September 16, 2014"
8852,barely-true,"Greg Abbott did ""nothing"" to pursue reports of the sexual abuse of boys at a West Texas state-run school.","By W. Gardner Selby • September 16, 2014"
8853,false,"""You have 200,000 to 400,000 military veterans on the street in this country on any given day.""","By C. Eugene Emery Jr. • September 16, 2014"
8854,barely-true,"Says Dick Cheney ""de-Ba’athisized the Iraqi government and created ISIS.""","By Jon Greenberg • September 15, 2014"
8855,pants-fire,"""As chair of the Senate Education Committee, I led the charge to restore most of the education cuts from last session.""","By W. Gardner Selby • September 15, 2014"
8856,barely-true,"Says ""John Barrow voted with Obama 85 percent of the time.""","By Louis Jacobson • September 15, 2014"
8857,half-true,"Says ""Nick Rahall voted with Obama 94 percent of the time.""","By Louis Jacobson • September 15, 2014"
8858,half-true,"Women still do not get paid as much as men, even ""for the same work, period.""","By April Hunt • September 15, 2014"
8859,mostly-true,"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for ""every domestic violence agency, every law enforcement agency, that’s a no-no.""","By Katie Sanders • September 14, 2014"
8860,true,"""The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.""","By Steve Contorno • September 14, 2014"
8861,mostly-true,"""Over 40 of our 100 (House of) Delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.""","By Sean Gorman • September 14, 2014"
8862,mostly-true,"Says Glenn Grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at Taco Bell for minimum wage.""","By Tom Kertscher • September 14, 2014"
8863,barely-true,"Says Gina Raimondo's ""venture capital firm secured a secret no-bid contract funded by taxpayers.""","By C. Eugene Emery Jr. • September 14, 2014"
8864,barely-true,"Says Mitch McConnell voted ""three times for corporate tax breaks that send Kentucky jobs overseas.""","By Lauren Carroll • September 12, 2014"
8865,false,"""I sponsored the new Buy American law""","By Dana Tims • September 12, 2014"
8866,true,"More people are apprehended after illegally crossing the U.S.-Mexico border a week ""than are born in Texas each week.""","By Philip Jankowski • September 12, 2014"
8867,mostly-true,"Says President Obama ""has never made a statement ... that he wanted a residual force left (in Iraq).""","By Lauren Carroll • September 12, 2014"
8868,barely-true,"In Texas public schools, ""we spend an average of $12,000 per pupil per year.""","By W. Gardner Selby • September 12, 2014"
8869,half-true,"""The Republican Party has the worst reputation in American polling of any political party in history.""","By Derek Tsang • September 12, 2014"
8870,false,"Jorge Elorza ""wants to impose a municipal income tax.""","By C. Eugene Emery Jr. • September 12, 2014"
8871,mostly-true,Says Michelle Nunn has acknowledged allowing a convicted felon to hold a fundraiser for her.,"By Nancy Badertscher • September 12, 2014"
8872,mostly-true,"""(Obama's) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.""","By Steve Contorno • September 11, 2014"
8873,mostly-true,"Says Rick Scott ""thinks employers should be able to deny women coverage for birth control.""","By Amy Sherman • September 11, 2014"
8874,half-true,"In Tripoli, ""jihadists today swim in our embassy pool.""","By Steve Contorno • September 11, 2014"
8875,half-true,"Saturday Night Live executive producer ""Lorne Michaels could be put in jail under this amendment for making fun of any politician.""","By Louis Jacobson • September 11, 2014"
8876,pants-fire,"A flight from Atlanta to Houston was canceled due to a ""terrorist dry run.""","By Derek Tsang • September 11, 2014"
8877,false,"""There were fewer civilian casualties in Cambodia than there have been from American drone attacks.""","By Jon Greenberg • September 11, 2014"
8878,false,"""Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.""","By Tom Kertscher • September 11, 2014"
8879,half-true,"""Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.""","By Tom Kertscher • September 11, 2014"
8880,mostly-true,"""Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.""","By Joshua Gillin • September 10, 2014"
8881,mostly-true,"A poll found that ""20% of young adults use (smartphones) during sex.""","By Jon Greenberg • September 10, 2014"
8882,false,"""Fox admits they lie"" and, under the First Amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""","By Linda Qiu • September 10, 2014"
8883,mostly-true,"Says Mary Burke’s Madison school district ""will be the only school district left in the state"" to ""ignore the (Act 10) law"" in the 2015-16 school year.","By Dave Umhoefer • September 10, 2014"
8884,barely-true,"Says cuts to Medicare affect people who have already ""paid in. We paid for it.""","By Louis Jacobson • September 9, 2014"
8885,half-true,"Says Democratic Senate candidate ""Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.""","By Louis Jacobson • September 9, 2014"
8886,false,"Says U.S. House candidate Carlos Curbelo ""supported ending the Medicare guarantee.""","By Amy Sherman • September 9, 2014"
8887,false,"The United States has ""the most number of deductions available to corporations"" for the corporate income tax.","By Derek Tsang • September 9, 2014"
8888,mostly-true,"The United States has ""the highest corporate tax rate in the free world.""","By Derek Tsang • September 9, 2014"
8889,half-true,"Virginia Democrats recently enforced voter ID rules that were ""considerably more stringent than those contained in the state law they denounce.""","By Nancy Madsen • September 9, 2014"
8890,mostly-true,"""Federal investigators found a company that (David Perdue) ran discriminated against women -- paid them less than men for the same work.""","By Nancy Badertscher • September 9, 2014"
8891,barely-true,"Says on contraception, his plan is ""cheaper and easier for you"" than Sen. Mark Udall’s","By Steve Contorno • September 8, 2014"
8892,half-true,"""Social Security has never contributed one cent to the deficit. Not one cent.""","By Dana Tims • September 8, 2014"
8893,false,"""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""","By Jon Greenberg • September 8, 2014"
8894,barely-true,"Obamacare ""cuts seniors’ Medicare.""","By Sean Gorman • September 8, 2014"
8895,true,"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""","By James B. Nelson • September 8, 2014"
8896,false,"Says his comment about extremists being a JV team ""wasn’t specifically referring to"" Islamic State.","By Steve Contorno • September 7, 2014"
8897,true,"""Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.""","By Linda Qiu • September 7, 2014"
8898,mostly-true,"""Scott Walker cut school funding more per student than any governor in America.""","By Tom Kertscher • September 7, 2014"
8899,false,"ISIS is ""right now crucifying Christians in Iraq, literally nailing Christians to trees.""","By W. Gardner Selby • September 5, 2014"
8900,half-true,"""Big Oil gave Scott Brown $454,260.""","By Jonathan Van Fleet • September 5, 2014"
8901,true,Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,"By W. Gardner Selby • September 5, 2014"
8902,true,"""We cut our deficits by more than half.""","By Dave Umhoefer • September 5, 2014"
8903,true,"In Georgia, Perdue’s company closed plants and moved jobs to China.","By April Hunt • September 5, 2014"
8904,false,"Says Mark Pryor voted ""to give Social Security benefits to illegal immigrants.""","By Louis Jacobson • September 4, 2014"
8905,pants-fire,"""McDonald’s hamburgers are only 15 percent ‘real beef.’ The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.""","By Linda Qiu • September 3, 2014"
8906,mostly-true,"""McDonald’s workers in Denmark have a union. Earn $45,000/year.""","By Jon Greenberg • September 3, 2014"
8907,pants-fire,"Says Dan Sullivan approved a ""light sentence"" for a sex offender who got out of prison and is now charged with a gruesome murder and sexual assault.","By Lauren Carroll • September 3, 2014"
8908,false,"""Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns"" and got $570 million in job-development incentives","By Dave Umhoefer • September 3, 2014"
8909,false,"Thomas Jefferson said, ""That government is best which governs the least, because its people discipline themselves.""","By April Hunt • September 3, 2014"
8910,barely-true,"Says Sen. Jeanne Shaheen’s ""wealth has surged while in public office.""","By Steve Contorno • September 2, 2014"
8911,pants-fire,"""Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.""","By Louis Jacobson • September 2, 2014"
8912,false,"""If black America were a country, it’d be the 15th wealthiest nation in the world.""","By Derek Tsang • September 2, 2014"
8913,false,"Says Rick Scott has ""teamed up with a felon convicted of running a Ponzi scheme to smear Charlie Crist.""","By Amy Sherman • September 2, 2014"
8914,barely-true,"Says Michigan U.S. Senate candidate Terri Lynn Land ""said guaranteeing equal pay for women who do the same job as men is not a good idea.""","By Lauren Carroll • September 2, 2014"
8915,mostly-true,"Pinnacle Overlook in Southwest Virginia is ""closer to eight other state capitals than to Richmond.""","By Sean Gorman • September 1, 2014"
8916,barely-true,"The prosecutor who brought the indictment of Texas Gov. Rick Perry ""has ties to Obama. He has ties to the Democrats.""","By Linda Qiu • August 31, 2014"
8917,half-true,"The United States had ""allies lined up"" for air strikes in Syria and then Obama ""pulled the rug out.""","By Steve Contorno • August 31, 2014"
8918,mostly-true,"In the latest jobs numbers Wisconsin ""ranked third in the Midwest.""","By James B. Nelson • August 31, 2014"
8919,true,"""Wisconsin’s dead last in Midwest job growth.""","By James B. Nelson • August 31, 2014"
8920,half-true,"Greg Abbott was ""charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.""","By W. Gardner Selby • August 31, 2014"
8921,barely-true,"""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools.""","By Tom Kertscher • August 31, 2014"
8922,mostly-true,"""The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.""","By C. Eugene Emery Jr. • August 31, 2014"
8923,half-true,"After merging with Tim Hortons of Canada, Burger King is ""not moving. … Our headquarters will remain in Miami"" and ""(we) will continue to pay all of our federal, state and local U.S. taxes.""","By Louis Jacobson • August 29, 2014"
8924,false,"At ""least a quarter of those apprehended"" at the border ""have criminal records.""","By W. Gardner Selby • August 29, 2014"
8925,false,"On tax inversions, the Wall Street Journal ""surprisingly attacked this tax scheme.""","By Jon Greenberg • August 29, 2014"
8926,barely-true,"""Russia has more diversity in its governmental representation than we do in Texas.""","By W. Gardner Selby • August 29, 2014"
8927,mostly-true,"In 2012, there were nearly 12.2 million arrests and only 410 ""uses of deadly force"" by police in the United States.","By Tom Kertscher • August 29, 2014"
8928,mostly-true,"""There have been at least 100 shootings each year [Angel Taveras] has been mayor"" of Providence.","By C. Eugene Emery Jr. • August 29, 2014"
8929,true,"Al Sharpton went to Ferguson, Mo., and is ""declaring as a matter of fact that ... Michael Brown didn't use any deadly force or posed no deadly threat to the officer.""","By Katie Sanders • August 28, 2014"
8930,mostly-true,"""In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.""","By Louis Jacobson • August 28, 2014"
8931,barely-true,"Under a proposed medical marijuana amendment in Florida, ""you don't get refills -- you get it forever.""","By Joshua Gillin • August 28, 2014"
8932,half-true,"Rick Scott took $200,000 from a family that leased land for drilling ""and now he is trying to hide from it.""","By Amy Sherman • August 28, 2014"
8933,barely-true,"Says Tom Cotton ""voted against preparing America for pandemics like Ebola.""","By Lauren Carroll • August 28, 2014"
8934,half-true,"""Cory Gardner is sponsoring a bill to ban all abortions right now.""","By Steve Contorno • August 28, 2014"
8935,true,"Wisconsin is ""dead last in income growth"" among midwestern states during Gov. Scott Walker’s term.","By Dave Umhoefer • August 28, 2014"
8936,mostly-true,"""My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.""","By Karen Lee Ziner • August 28, 2014"
8937,mostly-true,"Says he holds the record for ""most appearances on 'Meet the Press'.""","By Linda Qiu • August 27, 2014"
8938,pants-fire,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,"By Louis Jacobson • August 27, 2014"
8939,false,"Heroin and prescription opioids are ""the number one cause of accidental or preventable death in Wisconsin.""","By Tom Kertscher • August 27, 2014"
8940,barely-true,"Each Georgia taxpayer would have to send $5,000 to the treasury to cover the state’s debt.","By April Hunt • August 27, 2014"
8941,false,"""Every 28 hours"" an unarmed black person is shot by a cop.","By Katie Sanders • August 26, 2014"
8942,false,"""I was able to go and buy an automatic weapon … Most people can go out and buy an automatic weapon.""","By Jon Greenberg • August 26, 2014"
8943,false,"Says Thom Tillis ""gives tax breaks to yacht and jet owners.""","By Lauren Carroll • August 26, 2014"
8944,true,"Says President Barack Obama released a statement on the ""death of brother Robin Williams before ... a statement on brother Michael Brown.""","By Linda Qiu • August 26, 2014"
8945,mostly-true,"Police in the United States are allowed to use tear gas even though it ""has been classified as a chemical weapon and banned in international conflict since 1993.""","By Louis Jacobson • August 26, 2014"
8946,barely-true,"""Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve.""","By Linda Qiu • August 26, 2014"
8947,half-true,"""The growth rate of women-owned businesses in Texas has nearly doubled that of the nation since President Obama has taken office.""","By W. Gardner Selby • August 26, 2014"
8948,half-true,"""Over 60 percent of the provisional ballots cast in [the 2012] election were disqualified because those folks were not duly registered as voters.""","By C. Eugene Emery Jr. • August 26, 2014"
8949,barely-true,"Points of Light is  ""the world’s largest volunteer organization.""","By Nancy Badertscher • August 26, 2014"
8950,half-true,"Ponzi schemer Scott Rothstein ""gave hundreds of thousands of campaign cash to control Crist’s appointments of key state judges.""","By Amy Sherman • August 25, 2014"
8951,mostly-true,"""The United States is the only industrialized country that does not guarantee paid time off to care for a new child.""","By Sean Gorman • August 25, 2014"
8952,barely-true,"Says of Mitch McConnell, ""What can happen in 30 years? A senator can become a multi-millionaire in public office.""","By Lauren Carroll • August 25, 2014"
8953,true,New Glarus Brewing Co.’s Spotted Cow is available only in Wisconsin.,"By James B. Nelson • August 25, 2014"
8954,mostly-true,"The Obama administration originally ""wanted 10,000 troops to remain in Iraq -- not combat troops, but military advisers, special operations forces, to watch the counterterrorism effort.""","By Katie Sanders • August 24, 2014"
8955,true,The No. 1 cause of death for African-American males 15-34 is murder.,"By Linda Qiu • August 24, 2014"
8956,mostly-true,"Says he ""invested over $100 million in worker training.""","By Tom Kertscher • August 24, 2014"
8957,false,"""Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.""","By C. Eugene Emery Jr. • August 24, 2014"
8958,half-true,"""We’ve seen highway fatalities actually decrease in Colorado"" since marijuana use was legalized.","By Dana Tims • August 22, 2014"
8959,barely-true,"Congress is on ""vacation.""","By Louis Jacobson • August 22, 2014"
8960,barely-true,Says drug cartels are using social media to offer rebates so more children from Central America get smuggled to the United States.,"By Nicole Chavez • August 22, 2014"
8961,true,"""The majority of Austinites rent"" the places they live.","By W. Gardner Selby • August 22, 2014"
8962,mostly-true,"Wisconsin is ""38th in the country in terms of proficiency standards"" in student testing.","By Tom Kertscher • August 22, 2014"
8963,half-true,David Perdue led efforts to ship thousands of jobs overseas.,"By April Hunt • August 22, 2014"
8964,half-true,"Says Iowa Republican Senate candidate Joni Ernst ""would privatize Social Security.""","By Louis Jacobson • August 21, 2014"
8965,half-true,"""More whites than blacks are victims of deadly police shootings.""","By Jon Greenberg • August 21, 2014"
8966,true,"""Washington has incentivized the militarization of local police precincts.""","By Lauren Carroll • August 21, 2014"
8967,false,"Because of President Barack Obama’s failure to ""push job creation,"" the black unemployment rate in Ferguson, Mo., is three times higher than the white unemployment rate.","By Derek Tsang • August 21, 2014"
8968,false,"Under Rosemary Lehmberg, the ""Travis County D.A.’s office"" convened the grand jury that indicted Rick Perry.","By W. Gardner Selby • August 21, 2014"
8969,true,"Texas prosecutor Rosemary Lehmberg purchased ""72 bottles of vodka in just one store alone, in just over a year.""","By W. Gardner Selby • August 21, 2014"
8970,true,"""Before I was state treasurer, my Rhode Island business helped create over 1,000 jobs.""","By Karen Lee Ziner • August 21, 2014"
8971,barely-true,"While ""Arkansas seniors depend on Social Security and Medicare,"" Sen. Mark Pryor supports an overhaul so they ""couldn’t get Social Security until they turn 68 or 69.""","By Louis Jacobson • August 20, 2014"
8972,false,"When news broke that Ferguson 18-year-old Michael Brown was a suspect in a robbery, ""MSNBC practically went off the air for a while to have behind-closed-doors meetings to figure out how to deal with this new revelation.""","By Linda Qiu • August 20, 2014"
8973,pants-fire,"Obamacare ""prevents (Florida) from regulating insurance.""","By Joshua Gillin • August 20, 2014"
8974,true,"Says Keene, N.H., requested a ""military-grade armored personnel truck,"" citing their annual Pumpkin Festival as ""a possible target"" for terrorists.","By Jim Haddadin • August 20, 2014"
8975,barely-true,"""In six years, (U.S. Rep. Gary) Peters introduced zero bills that became law.""","By Steve Contorno • August 20, 2014"
8976,mostly-true,"A ""regulatory thing"" means you can’t show someone drinking beer on camera.","By Jon Greenberg • August 20, 2014"
8977,true,"Jason Carter backed three of Nathan Deal’s budgets but accuses the governor of ""underfunding education.""","By Nancy Badertscher • August 20, 2014"
8978,mostly-true,"Says his ""Act 10 reforms"" have ""saved the taxpayers some $3 billion.""","By Tom Kertscher • August 20, 2014"
8979,half-true,"Says Rep. Tom Reed, R-N.Y., ""voted to raise the Social Security retirement age on us.""","By Louis Jacobson • August 19, 2014"
8980,pants-fire,"Documents released by Edward Snowden reveal that American, British and Israeli intelligence agencies worked together to create the Islamic State.","By Derek Tsang • August 19, 2014"
8981,barely-true,Says David Perdue made tens of millions of dollars piling a firm with billions in debt.,"By April Hunt • August 19, 2014"
8982,barely-true,"""I've been here almost every day.""","By Steve Contorno • August 18, 2014"
8983,mostly-true,"""The number of SWAT raids have gone up by 1,400 percent since the 1980s.""","By Louis Jacobson • August 18, 2014"
8984,true,"Under Mayor Tom Barrett, the number of Milwaukee police officers ""has not increased.""","By Dave Umhoefer • August 18, 2014"
8985,no-flip,On offshore drilling for energy,"By Nancy Madsen • August 18, 2014"
8986,mostly-true,"In Ferguson, Mo., ""you've got three black officers and 50 white officers with a town that is 67 percent African-American.""","By Katie Sanders • August 17, 2014"
8987,pants-fire,"Says Ted Cruz ""was just bribed by the Kochs to introduce a bill that would give them and their allies America’s national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.""","By W. Gardner Selby • August 17, 2014"
8988,true,The Milwaukee Police Department has seized nearly as many firearms this year as the much larger New York City Police Department.,"By James B. Nelson • August 17, 2014"
8989,barely-true,"Sen. Jack Reed ""cast the deciding vote in the Senate for the Affordable Care Act.""","By C. Eugene Emery Jr. • August 17, 2014"
8990,false,"Sen. Jeff Merkley ""voted six times for more debt.""","By Dana Tims • August 15, 2014"
8991,false,"Says Charlie ""Crist made it easier for Duke to take your money.""","By Joshua Gillin • August 15, 2014"
8992,pants-fire,"Says Marilinda Garcia supports ""$150 billion in new taxes.""","By Jim Haddadin • August 15, 2014"
8993,barely-true,"Congress is ""on a five-week vacation.""","By W. Gardner Selby • August 15, 2014"
8994,half-true,"Says Rick Scott took $200,000 in campaign contributions from a company that ""profited off pollution.""","By Amy Sherman • August 15, 2014"
8995,true,"Says Charlie Crist rode on a jet that ""belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water.""","By Joshua Gillin • August 15, 2014"
8996,pants-fire,"""Far more children died last year drowning in their bathtubs than were killed accidentally by guns.""","By Jon Greenberg • August 15, 2014"
8997,mostly-true,Kasim Reed has kept every promise he made as a candidate.,"By April Hunt • August 15, 2014"
8998,pants-fire,"Says the former president of the Czech Republic said the American people were a ""confederacy of fools"" for electing Barack Obama.","By Lauren Carroll • August 14, 2014"
8999,pants-fire,"The wife of the Ferguson, Mo., police chief said African-Americans in Ferguson ""are feral and violent.""","By Aaron Sharockman • August 14, 2014"
9000,pants-fire,"""I haven’t really proposed (phasing out aid to Israel) in the past.""","By Louis Jacobson • August 7, 2014"
9001,false,"Africa is spending ""the highest percentage of their GDP on education of any part of the world.""","By Derek Tsang • August 7, 2014"
9002,true,"""It cost us more to shut the government down than to keep it open.""","By Lauren Carroll • August 7, 2014"
9003,pants-fire,"Austin mayoral candidate ""Mike Martinez takes corporate money.""","By W. Gardner Selby • August 7, 2014"
9004,true,"Milwaukee County Sheriff David A. Clarke Jr. advised citizens to ""point that barrel center mass and pull the trigger"" because ""911 is not our best option.""","By Dave Umhoefer • August 7, 2014"
9005,barely-true,"""The per-pupil cost in the [Blackstone Valley Prep] Mayoral Academy far outweighs the per-pupil cost in Cumberland public schools.""","By Karen Lee Ziner • August 7, 2014"
9006,false,"""The leader of ISIS was imprisoned by American troops and ordered released to Iraq by Obama administration in 2009.""","By Jon Greenberg • August 6, 2014"
9007,half-true,"In the ""do-nothing Senate,"" there are 352 House bills ""sitting on Harry Reid’s desk awaiting action,"" including 55 introduced by Democrats.","By Louis Jacobson • August 6, 2014"
9008,pants-fire,"President Barack Obama’s latest executive order ""mandates the apprehension and detention of Americans who merely show signs of ‘respiratory illness.’ ""","By Jon Greenberg • August 6, 2014"
9009,true,"San Antonio is ""now the largest city in the United States ever to have an African American woman mayor.""","By W. Gardner Selby • August 6, 2014"
9010,true,"""There has never been an alderman who has defeated an incumbent mayor in the history of this great city.""","By Dave Umhoefer • August 6, 2014"
9011,half-true,"""25 percent of all drug-related fatal vehicle accidents in the U.S. involve marijuana.""","By Joshua Gillin • August 5, 2014"
9012,pants-fire,"Women ""own just 1 percent of the world’s land.""","By Jon Greenberg • August 5, 2014"
9013,pants-fire,"The Consumer Financial Protection Bureau ""passed a rule giving the agency unprecedented power to shut down businesses, no matter what the reason, at any time it wishes.""","By Katie Sanders • August 5, 2014"
9014,false,"Says U.S. Senate candidate Joni Ernst signed a pledge that ""protects tax breaks for companies that ship jobs overseas.""","By Lauren Carroll • August 5, 2014"
9015,half-true,"Gwinnett County government has made ""significant cutbacks in staffing.""","By Nancy Badertscher • August 5, 2014"
9016,half-true,"""Attorney General Eric Holder’s own Justice Department precleared the voting changes in the 2011 law"" about early voting in Florida.","By Amy Sherman • August 4, 2014"
9017,true,"""It's been 17 years that we've had unemployment higher than the national average in Oregon.""","By Dana Tims • August 4, 2014"
9018,barely-true,"Says U.S. Rep. Ann McLane Kuster used $293,000 of taxpayer money to send campaign mail.","By Jim Haddadin • August 4, 2014"
9019,false,"""So many people were critical of Secretary (John) Kerry going to Paris and talking with Hamas,"" because Kerry was seen as ""supporting Hamas to the exclusion of the Arab League.""","By Linda Qiu • August 4, 2014"
9020,false,"Ed Gillespie ""supports a personhood amendment.""","By Sean Gorman • August 4, 2014"
9021,barely-true,"Says U.S. Senate candidate Cory Gardner ""blocked immigration reform"" and ""voted to deport our DREAMers.""","By Steve Contorno • August 4, 2014"
9022,pants-fire,"""Mitt Romney did not run his campaign on the basis of arguing his experience in the business world was a reason to vote for him.""","By Dave Umhoefer • August 4, 2014"
9023,mostly-true,"The people who want President Barack Obama impeached ""are all white, they're all older, and guess what, they're in the far right wing of the Republican Party.""","By Jon Greenberg • August 3, 2014"
9024,pants-fire,"The United States is at ""historic record highs"" of individuals being apprehended on the border from countries with terrorist ties such as ""Pakistan or Afghanistan or Syria.""","By Lauren Carroll • August 3, 2014"
9025,false,"Says a $12.5 million incentive deal she approved for Abbott Laboratories contained ""strong protections for taxpayers if job creation goals were not met.""","By Dave Umhoefer • August 3, 2014"
9026,mostly-true,"Rhode Island's state pension system ""underperformed the median three out of the four years that Mr. [Frank] Caprio was in office.""","By C. Eugene Emery Jr. • August 3, 2014"
9027,pants-fire,"""This administration is slashing the Navy to pay for more Obamacare.""","By Nancy Madsen • August 3, 2014"
9028,mostly-true,"Says U.S. Senate candidate Joni Ernst does not support ""a national minimum wage.""","By Molly O'Connor • August 1, 2014"
9029,pants-fire,"""Global warming is a hoax.""","By Lauren Carroll • August 1, 2014"
9030,barely-true,"Says Rick Scott ""raised property taxes.""","By Joshua Gillin • August 1, 2014"
9031,barely-true,"Since 1999, 440 people have been killed in attacks on church property in the United States.","By April Hunt • August 1, 2014"
9032,false,"Oregon’s ""three largest employers, and 13 of the top 25, are health care providers.""","By Dana Tims • July 31, 2014"
9033,mostly-true,"Israel in the last three weeks has ""killed more Palestinian children, more than 200, than the total number of Israeli soldiers killed in military operations since 2006.""","By Derek Tsang • July 31, 2014"
9034,barely-true,"""We did not seek an impeachment of President Bush.""","By Louis Jacobson • July 31, 2014"
9035,half-true,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico.","By W. Gardner Selby • July 31, 2014"
9036,barely-true,"Says U.S. House candidate Carlos Curbelo ""opposes the repeal of Obamacare.""","By Amy Sherman • July 31, 2014"
9037,true,"""The House of Representatives has never sued a sitting president in all of U.S. history.""","By Louis Jacobson • July 31, 2014"
9038,barely-true,"""We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built.""","By Steve Contorno • July 31, 2014"
9039,barely-true,"Because of the current immigration crisis, Republicans want to ""repeal"" a 2008 law that President George W. Bush signed and ""want to be on record as not wanting to protect children from ... sex trafficking.""","By Derek Tsang • July 31, 2014"
9040,pants-fire,Says John Cornyn dodged the draft during the Vietnam War.,"By W. Gardner Selby • July 31, 2014"
9041,false,"Mary Burke ""wasted 12.5 million dollars on a vacant lot"" in a move that ""could cost taxpayers nearly $25 million.""","By Dave Umhoefer • July 31, 2014"
9042,barely-true,"Says Rep. Bruce Braley, D-Iowa, ""skipped an important VA reform hearing to attend three fundraisers.""","By Lauren Carroll • July 30, 2014"
